기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상
2019	금천구	시흥4동	1,401	1,050	351	339	254	85	135	75	60	927	721	206
2019	금천구	시흥5동	1,174	866	308	390	264	126	85	58	27	699	544	155
2019	영등포구	소계	14,613	10,730	3,883	2,919	2,166	753	582	340	242	11,112	8,224	2,888
2019	영등포구	여의동	1,036	653	383	28	18	10	5	3	2	1,003	632	371
2019	영등포구	당산1동	839	628	211	150	127	23	34	24	10	655	477	178
2019	영등포구	당산2동	756	531	225	58	35	23	19	15	4	679	481	198
2019	영등포구	양평1동	585	432	153	83	51	32	25	11	14	477	370	107
2019	영등포구	양평2동	493	357	136	66	45	21	24	14	10	403	298	105
2019	영등포구	신길1동	1,063	775	288	245	181	64	79	45	34	739	549	190
2019	영등포구	신길3동	819	611	208	200	140	60	37	16	21	582	455	127
2019	영등포구	신길4동	599	460	139	168	127	41	39	23	16	392	310	82
2019	영등포구	신길5동	523	390	133	134	96	38	36	24	12	353	270	83
2019	영등포구	신길6동	717	527	190	141	91	50	25	15	10	551	421	130
2019	영등포구	신길7동	363	245	118	49	27	22	15	6	9	299	212	87
2019	영등포구	대림1동	777	576	201	143	100	43	36	20	16	598	456	142
2019	영등포구	대림2동	783	585	198	166	99	67	26	18	8	591	468	123
2019	영등포구	대림3동	925	702	223	201	147	54	47	23	24	677	532	145
2019	영등포구	영등포본동	1,128	853	275	285	228	57	34	23	11	809	602	207
2019	영등포구	영등포동	1,454	1,168	286	500	432	68	28	18	10	926	718	208
2019	영등포구	도림동	909	646	263	202	150	52	48	25	23	659	471	188
2019	영등포구	문래동	844	591	253	100	72	28	25	17	8	719	502	217
2019	동작구	소계	14,228	10,447	3,781	2,779	1,878	901	934	490	444	10,515	8,079	2,436
2019	동작구	노량진2동	908	687	221	238	172	66	63	40	23	607	475	132
2019	동작구	상도1동	1,343	958	385	352	205	147	112	46	66	879	707	172
2019	동작구	상도2동	904	645	259	130	87	43	58	26	32	716	532	184
2019	동작구	상도3동	940	689	251	179	125	54	74	41	33	687	523	164
2019	동작구	상도4동	1,174	880	294	270	179	91	86	45	41	818	656	162
2019	동작구	사당1동	832	676	156	152	118	34	38	20	18	642	538	104
2019	동작구	사당3동	733	555	178	94	65	29	29	18	11	610	472	138
2019	동작구	사당4동	582	434	148	125	85	40	50	24	26	407	325	82
2019	동작구	사당5동	460	336	124	78	47	31	34	16	18	348	273	75
2019	동작구	대방동	1,253	916	337	306	225	81	111	73	38	836	618	218
2019	동작구	신대방1동	758	560	198	116	78	38	46	28	18	596	454	142
2019	동작구	신대방2동	619	458	161	124	92	32	40	19	21	455	347	108
2019	동작구	흑석동	1,360	936	424	200	135	65	64	38	26	1,096	763	333
2019	동작구	노량진1동	1,314	926	388	284	178	106	91	38	53	939	710	229
2019	동작구	사당2동	1,048	791	257	131	87	44	38	18	20	879	686	193
2019	관악구	소계	18,725	14,304	4,421	4,382	3,032	1,350	855	525	330	13,488	10,747	2,741
2019	관악구	보라매동	1,024	767	257	207	148	59	41	25	16	776	594	182
2019	관악구	청림동	638	456	182	181	121	60	24	17	7	433	318	115
2019	관악구	행운동	1,009	785	224	271	185	86	33	23	10	705	577	128
2019	관악구	낙성대동	528	416	112	83	59	24	14	9	5	431	348	83
2019	관악구	중앙동	671	526	145	156	115	41	29	18	11	486	393	93
2019	관악구	인헌동	813	638	175	111	70	41	48	30	18	654	538	116
2019	관악구	남현동	471	390	81	74	50	24	31	19	12	366	321	45
